,Product,Surplus,Base Production,Substitutability Group,Ave_Self_Assign,Ave_Assign_to_Others,Average Unused Stock,Alpha
0,0,0.0,5702.0,0.0,5586.74,0.0,115.26,0.1
1,1,0.0,58512.0,0.0,52279.96,0.0,6232.04,0.1
2,2,0.0,12332.0,0.0,12082.71,0.0,249.29,0.1
3,3,0.0,8493.0,0.0,8321.32,0.0,171.68,0.1
4,4,11285.0,68762.0,0.0,49432.61,11946.79,18667.6,0.1
5,5,0.0,6418.0,0.0,5467.07,0.0,950.93,0.1
6,6,0.0,11438.0,1.0,11206.78,0.0,231.22,0.1
7,7,0.0,67309.0,1.0,50683.41,1947.67,14677.92,0.1
8,8,0.0,78174.0,2.0,76593.72,0.0,1580.28,0.1
9,9,0.0,49381.0,2.0,44121.5,0.0,5259.5,0.1
10,10,48106.0,10009.0,2.0,8653.24,34022.02,15439.74,0.1
11,11,0.0,468.0,2.0,404.6,0.39,63.01,0.1
12,12,0.0,22115.0,2.0,16652.51,268.4,5194.09,0.1
13,13,0.0,86460.0,3.0,74748.84,0.0,11711.16,0.1
14,14,0.0,276.0,3.0,198.23,3.38,74.39,0.1
15,15,1989.0,40721.0,3.0,30945.94,714.39,11049.67,0.1
16,16,0.0,50171.0,3.0,36034.85,739.46,13396.7,0.1
17,17,0.0,25128.0,4.0,21724.37,0.0,3403.63,0.1
18,18,0.0,69869.0,4.0,52611.09,73.09,17184.83,0.1
19,19,0.0,18154.0,5.0,13038.92,0.0,5115.08,0.1
20,20,0.0,99596.0,5.0,71533.88,0.0,28062.12,0.1
21,21,0.0,66276.0,6.0,49905.59,2876.26,13494.14,0.1
22,22,0.0,47347.0,6.0,35652.1,511.15,11183.76,0.1
23,23,5042.0,33613.0,6.0,37224.59,0.0,1430.41,0.1
24,24,0.0,34919.0,7.0,25080.24,822.38,9016.38,0.1
25,25,0.0,61643.0,7.0,53293.37,0.0,8349.63,0.1
26,26,0.0,82514.0,7.0,62132.72,9.33,20371.95,0.1
27,27,0.0,44077.0,7.0,38106.69,0.0,5970.31,0.1
28,28,0.0,63985.0,8.0,48180.46,0.0,15804.54,0.1
29,29,0.0,57055.0,8.0,42962.19,0.0,14092.81,0.1
30,30,0.0,57074.0,9.0,49343.23,0.0,7730.77,0.1
31,31,0.0,49797.0,9.0,37496.96,153.07,12146.97,0.1
32,32,72377.0,81197.0,9.0,110280.8,14479.98,28813.21,0.1
